Job Class,Link to Get Started,Percentage
Management,https://www.indeed.com/career-advice/career-development/what-is-management,6.1
Business and Financial operations,https://www.datausa.io/profile/soc/business-financial-operations-occupations,5
Computer and Mathematical,https://www.bls.gov/oes/current/oes150000.htm,2.7
Architecture and Engineering,https://www.bls.gov/ooh/architecture-and-engineering/home.htm,1.7
"Life, Physical and Social Science",https://www.bls.gov/ooh/life-physical-and-social-science/home.htm,0.9
Community and Social Service,https://www.bls.gov/ooh/community-and-social-service/home.htm,1.6
Legal,https://www.bls.gov/oes/2018/may/oes230000.htm,0.8
"Education, training and library",https://www.bls.gov/ooh/education-training-and-library/home.htm,6.1
"Arts, design, entertainment, sports and media",https://www.bls.gov/oes/current/oes270000.htm,1.7
Healthcare practioners and technical,https://www.bls.gov/oes/current/oes290000.htm,5.5
Healthcare support,https://www.bls.gov/oes/2018/may/oes310000.htm,2.8
Protective service,https://www.bls.gov/oes/current/oes330000.htm,2.3
Food preparation and serving,https://www.bls.gov/ooh/food-preparation-and-serving/home.htm,8.3
Building and grounds cleaning and maintenance,https://www.bls.gov/ooh/building-and-grounds-cleaning/home.htm,3.7
Personal care and service,https://www.bls.gov/ooh/personal-care-and-service/home.htm,4
Sales,https://www.bls.gov/oes/current/oes410000.htm,10.2
Office and administrative support,https://www.bls.gov/oes/2017/may/oes490000.htm,15.1
"Farming, fishing and forestry",https://www.bls.gov/oes/current/oes450000.htm,0.6
Construction and extraction,https://www.bls.gov/ooh/construction-and-extraction/home.htm,4.3
"Installation, maintenance and repair",https://www.bls.gov/oes/2017/may/oes490000.htm,3.8
Production,http://www.careers.org/occupations/field/51/production,6.1
Transportation and material moving,https://www.bls.gov/ooh/transportation-and-material-moving/home.htm,6.5
Total,,99.8
